freq,mag(Zin2)
1685000000.0000000000,34.7893318298
1690000000.0000000000,34.6469249542
1694999999.9999997616,34.5068272609
1700000000.0000000000,34.3676098533
1705000000.0000000000,34.2285152105
1710000000.0000002384,34.0895428258
1714999999.9999997616,33.9506921949
1720000000.0000000000,33.8141053161
1725000000.0000000000,33.6783341813
1730000000.0000000000,33.5426778805
1735000000.0000000000,33.4071359443
1739999999.9999997616,33.2717079050
1744999999.9999997616,33.1384713083
1750000000.0000000000,33.0059816124
1755000000.0000002384,32.8735994472
1760000000.0000002384,32.7413243767
1765000000.0000000000,32.6091559670
1770000000.0000000000,32.4791270079
1775000000.0000000000,32.3497859541
1780000000.0000000000,32.2205456426
1785000000.0000002384,32.0914056682
1789999999.9999997616,31.9623656270
1795000000.0000000000,31.8354117203
1800000000.0000000000,31.7090895174
1805000000.0000002384,31.5828617964
1810000000.0000000000,31.4567281796
1815000000.0000000000,31.3306882910
1819999999.9999997616,31.2066781563
1825000000.0000000000,31.0832451392
1830000000.0000000000,30.9599007465
1835000000.0000002384,30.8366446260
1839999999.9999997616,30.7134764271
1845000000.0000000000,30.5923018822
1850000000.0000000000,30.4716583538
1855000000.0000000000,30.3510980575
1860000000.0000000000,30.2306206644
1864999999.9999997616,30.1102258469
1869999999.9999997616,29.9917565674
1875000000.0000000000,29.8737674412
1880000000.0000002384,29.7558565136
1885000000.0000002384,29.6380234770
1890000000.0000000000,29.5202680250
1895000000.0000000000,29.4044034964
1900000000.0000000000,29.2889776834
1905000000.0000000000,29.1736253852
1910000000.0000002384,29.0583463138
1914999999.9999997616,28.9431401820
1920000000.0000000000,28.8297812812
1925000000.0000000000,28.7168205377
1930000000.0000002384,28.6039289493
1935000000.0000000000,28.4911062459
1940000000.0000000000,28.3783521581
1944999999.9999997616,28.2673987402
1950000000.0000000000,28.1568046444
1955000000.0000000000,28.0462756309
1960000000.0000002384,27.9358114461
1964999999.9999997616,27.8254118371
1970000000.0000000000,27.7167703458
1975000000.0000000000,27.6084521885
1980000000.0000000000,27.5001953183
1985000000.0000000000,27.3919994967
1989999999.9999997616,27.2838644858
1994999999.9999997616,27.1774470933
2000000000.0000000000,27.0713189259
2005000000.0000000000,26.9652485029
2010000000.0000002384,26.8592355995
2014999999.9999997616,26.7532799920
2020000000.0000000000,26.6490118203
2025000000.0000000000,26.5450023930
2030000000.0000002384,26.4410473961
2035000000.0000002384,26.3371466176
2040000000.0000000000,26.2332998466
2045000000.0000000000,26.1311011145
2049999999.9999997616,26.0291311717
2055000000.0000002384,25.9272125776
2060000000.0000000000,25.8253451324
2065000000.0000000000,25.7235286366
2069999999.9999997616,25.6233081050
2075000000.0000002384,25.5232868665
2080000000.0000000000,25.4233140587
2085000000.0000000000,25.3233894928
2089999999.9999997616,25.2235129803
2094999999.9999997616,25.1252188347
2100000000.0000000000,25.0270993915
2105000000.0000000000,24.9290256680
2110000000.0000002384,24.8309974856
2114999999.9999997616,24.7330146661
2120000000.0000000000,24.6365597310
2125000000.0000000000,24.5402532967
2130000000.0000000000,24.4439900247
2135000000.0000002384,24.3477697458
2139999999.9999997616,24.2515922913
2145000000.0000000000,24.1569341145
2150000000.0000000000,24.0624028658
2155000000.0000004768,23.9679124010
2160000000.0000000000,23.8734625596
2165000000.0000000000,23.7790531817
2170000000.0000000000,23.6861036620
2175000000.0000000000,23.5932578807
2180000000.0000000000,23.5004506286
2185000000.0000000000,23.4076817535
2190000000.0000000000,23.3149511035
2195000000.0000000000,23.2236693129
2200000000.0000000000,23.1324716653
2205000000.0000000000,23.0413104522
2210000000.0000000000,22.9501855291
2215000000.0000000000,22.8590967516
2219999999.9999995232,22.7694254447
2225000000.0000000000,22.6798186468
2230000000.0000000000,22.5902462849
2235000000.0000004768,22.5007082214
2240000000.0000000000,22.4112043192
2245000000.0000000000,22.3230802545
2250000000.0000000000,22.2350024869
2255000000.0000000000,22.1469572853
2260000000.0000000000,22.0589445187
2264999999.9999995232,21.9709656421
2270000000.0000000000,21.8843382131
2275000000.0000000000,21.7977417275
2280000000.0000004768,21.7111760604
2285000000.0000000000,21.6246410870
2290000000.0000000000,21.5381526669
2295000000.0000000000,21.4529672030
2300000000.0000000000,21.3678110071
2305000000.0000000000,21.2826839600
2310000000.0000000000,21.1975859425
2315000000.0000000000,21.1125462433
2320000000.0000000000,21.0287410424
2325000000.0000000000,20.9449635557
2330000000.0000000000,20.8612136696
2335000000.0000000000,20.7774912704
2340000000.0000000000,20.6938388173
2344999999.9999995232,20.6113869218
2350000000.0000000000,20.5289612453
2355000000.0000000000,20.4465616789
2360000000.0000004768,20.3641881141
2365000000.0000000000,20.2818948207
2370000000.0000000000,20.2007495061
2375000000.0000000000,20.1196290263
2380000000.0000000000,20.0385332773
2385000000.0000000000,19.9574621552
2389999999.9999995232,19.8764803950
2395000000.0000000000,19.7965834524
2400000000.0000000000,19.7167100118
2405000000.0000004768,19.6368599738
2410000000.0000000000,19.5570332390
2415000000.0000000000,19.4773067061
2420000000.0000000000,19.3986450405
2425000000.0000000000,19.3200056443
2430000000.0000000000,19.2413884221
2435000000.0000000000,19.1627932788
2440000000.0000000000,19.0843053658
