freq,phase(Zin2)
1190000000.0000000000,-89.8248255795
1194999999.9999997616,-89.8236808006
1200000000.0000000000,-89.8220613576
1205000000.0000000000,-89.8207518800
1210000000.0000000000,-89.8197535535
1215000000.0000000000,-89.8190676085
1220000000.0000000000,-89.8178766585
1225000000.0000000000,-89.8162545139
1230000000.0000000000,-89.8149267163
1234999999.9999997616,-89.8138944707
1240000000.0000000000,-89.8131590244
1244999999.9999997616,-89.8119309249
1250000000.0000000000,-89.8103126690
1255000000.0000002384,-89.8089742862
1260000000.0000000000,-89.8079169938
1265000000.0000002384,-89.8071420492
1270000000.0000000000,-89.8058797965
1275000000.0000000000,-89.8042594713
1280000000.0000000000,-89.8029055827
1285000000.0000000000,-89.8018193541
1290000000.0000000000,-89.8010020469
1295000000.0000000000,-89.7997128633
1300000000.0000000000,-89.7981030438
1305000000.0000002384,-89.7967470883
1310000000.0000000000,-89.7956462218
1315000000.0000000000,-89.7948017049
1319999999.9999997616,-89.7934787547
1325000000.0000000000,-89.7918538128
1330000000.0000000000,-89.7904709732
1335000000.0000000000,-89.7893314564
1340000000.0000000000,-89.7884365171
1345000000.0000000000,-89.7870792813
1350000000.0000000000,-89.7854531434
1355000000.0000000000,-89.7840580887
1359999999.9999997616,-89.7828953305
1365000000.0000000000,-89.7819661142
1369999999.9999997616,-89.7805719189
1375000000.0000000000,-89.7789266834
1380000000.0000002384,-89.7775022290
1385000000.0000000000,-89.7762997581
1390000000.0000002384,-89.7753205040
1395000000.0000000000,-89.7738966221
1400000000.0000000000,-89.7722537005
1405000000.0000000000,-89.7708219475
1410000000.0000000000,-89.7696025535
1415000000.0000000000,-89.7685967381
1420000000.0000000000,-89.7671418797
1425000000.0000000000,-89.7654819323
1430000000.0000002384,-89.7640241496
1435000000.0000000000,-89.7627697074
1440000000.0000000000,-89.7617198097
1444999999.9999997616,-89.7602286896
1450000000.0000000000,-89.7585527124
1455000000.0000000000,-89.7570703099
1460000000.0000000000,-89.7557826409
1465000000.0000000000,-89.7546908912
1470000000.0000000000,-89.7531662694
1475000000.0000000000,-89.7514761409
1480000000.0000000000,-89.7499716962
1484999999.9999997616,-89.7486540775
1490000000.0000000000,-89.7475244533
1494999999.9999997616,-89.7459766416
1500000000.0000000000,-89.7442848839
1505000000.0000002384,-89.7427713048
1510000000.0000000000,-89.7414370290
1515000000.0000002384,-89.7402832062
1520000000.0000000000,-89.7386983670
1525000000.0000000000,-89.7369753749
1530000000.0000000000,-89.7354234582
1535000000.0000000000,-89.7340437224
1540000000.0000000000,-89.7328372966
1545000000.0000000000,-89.7312160856
1550000000.0000000000,-89.7294764903
1555000000.0000002384,-89.7279013007
1560000000.0000000000,-89.7264916031
1565000000.0000000000,-89.7252485066
1569999999.9999997616,-89.7235930338
1575000000.0000000000,-89.7218311693
1580000000.0000000000,-89.7202273966
1585000000.0000000000,-89.7187827822
1590000000.0000000000,-89.7174984148
1595000000.0000000000,-89.7158019611
1600000000.0000000000,-89.7140095347
1605000000.0000000000,-89.7123692706
1610000000.0000000000,-89.7108822156
1614999999.9999997616,-89.7095494380
1619999999.9999997616,-89.7078229421
1625000000.0000000000,-89.7060179869
1630000000.0000002384,-89.7043595814
1635000000.0000002384,-89.7028487534
1640000000.0000000000,-89.7014865510
1645000000.0000000000,-89.6997285781
1650000000.0000000000,-89.6979001776
1655000000.0000000000,-89.6962129953
1660000000.0000002384,-89.6946680394
1664999999.9999997616,-89.6932663375
1670000000.0000000000,-89.6914633859
1675000000.0000000000,-89.6895964357
1680000000.0000002384,-89.6878656513
1685000000.0000000000,-89.6862720209
1690000000.0000000000,-89.6848165521
1694999999.9999997616,-89.6829870767
1700000000.0000000000,-89.6811113136
1705000000.0000000000,-89.6793670450
1710000000.0000002384,-89.6777552414
1714999999.9999997616,-89.6762768921
1720000000.0000000000,-89.6744060683
1725000000.0000000000,-89.6724902324
1730000000.0000000000,-89.6707012515
1735000000.0000000000,-89.6690400760
1739999999.9999997616,-89.6675076745
1744999999.9999997616,-89.6656045787
1750000000.0000000000,-89.6636705208
1755000000.0000002384,-89.6618590952
1760000000.0000002384,-89.6601712349
1765000000.0000000000,-89.6586078903
1770000000.0000000000,-89.6566583564
1775000000.0000000000,-89.6546798529
1780000000.0000000000,-89.6528198180
1785000000.0000002384,-89.6510791658
1789999999.9999997616,-89.6494588269
1795000000.0000000000,-89.6474749626
1800000000.0000000000,-89.6454748307
1805000000.0000002384,-89.6435893086
1810000000.0000000000,-89.6418192932
1815000000.0000000000,-89.6401656975
1819999999.9999997616,-89.6381245233
1825000000.0000000000,-89.6360669503
1830000000.0000000000,-89.6341201871
1835000000.0000002384,-89.6322851119
1839999999.9999997616,-89.6305626186
1845000000.0000000000,-89.6284917118
1850000000.0000000000,-89.6264196866
1855000000.0000000000,-89.6244549893
1860000000.0000000000,-89.6225984819
1864999999.9999997616,-89.6208510419
1869999999.9999997616,-89.6187337976
1875000000.0000000000,-89.6166158951
1880000000.0000002384,-89.6146019355
1885000000.0000002384,-89.6126927640
1890000000.0000000000,-89.6108892410
1895000000.0000000000,-89.6087310512
1900000000.0000000000,-89.6065806954
1905000000.0000000000,-89.6045310932
1910000000.0000002384,-89.6025830739
1914999999.9999997616,-89.6007374819
1920000000.0000000000,-89.5985361842
1925000000.0000000000,-89.5963473477
1930000000.0000002384,-89.5942561726
1935000000.0000000000,-89.5922634724
1940000000.0000000000,-89.5903700751
1944999999.9999997616,-89.5881154523
1950000000.0000000000,-89.5858769786
1955000000.0000000000,-89.5837331699
1960000000.0000002384,-89.5816848239
1964999999.9999997616,-89.5797327523
1970000000.0000000000,-89.5774207509
1975000000.0000000000,-89.5751296180
1980000000.0000000000,-89.5729302586
1985000000.0000000000,-89.5708234545
1989999999.9999997616,-89.5688100015
1994999999.9999997616,-89.5664535360
2000000000.0000000000,-89.5641248646
2005000000.0000000000,-89.5618853134
2010000000.0000002384,-89.5597356506
2014999999.9999997616,-89.5576766578
2020000000.0000000000,-89.5552656069
2025000000.0000000000,-89.5528851325
2030000000.0000002384,-89.5505911030
2035000000.0000002384,-89.5483842716
2040000000.0000000000,-89.5462654045
2045000000.0000000000,-89.5438215138
2049999999.9999997616,-89.5414152748
2055000000.0000002384,-89.5390930814
2060000000.0000000000,-89.5368556744
2065000000.0000000000,-89.5347038072
2069999999.9999997616,-89.5321785096
2075000000.0000002384,-89.5296894473
2080000000.0000000000,-89.5272818579
2085000000.0000000000,-89.5249564666
2089999999.9999997616,-89.5227140112
2094999999.9999997616,-89.5201423654
2100000000.0000000000,-89.5176147946
2105000000.0000000000,-89.5151664081
2110000000.0000002384,-89.5127979183
2114999999.9999997616,-89.5105100501
2120000000.0000000000,-89.5078673476
2125000000.0000000000,-89.5052701119
